"prov","ym","N","rate","treated","cap_2019","cap_2023","cap_change_ratio"
10,"2019-01",145,0.751724137931034,1,6382,6288,-0.014728925101849
10,"2019-02",144,0.805555555555556,1,6382,6288,-0.014728925101849
10,"2019-03",152,0.789473684210526,1,6382,6288,-0.014728925101849
10,"2019-04",150,0.74,1,6382,6288,-0.014728925101849
10,"2019-05",144,0.756944444444444,1,6382,6288,-0.014728925101849
10,"2019-06",140,0.735714285714286,1,6382,6288,-0.014728925101849
10,"2019-07",138,0.717391304347826,1,6382,6288,-0.014728925101849
10,"2019-08",134,0.73134328358209,1,6382,6288,-0.014728925101849
10,"2019-09",135,0.681481481481481,1,6382,6288,-0.014728925101849
10,"2019-10",139,0.748201438848921,1,6382,6288,-0.014728925101849
10,"2019-11",131,0.763358778625954,1,6382,6288,-0.014728925101849
10,"2019-12",138,0.702898550724638,1,6382,6288,-0.014728925101849
10,"2020-01",136,0.808823529411765,1,6382,6288,-0.014728925101849
10,"2020-02",142,0.816901408450704,1,6382,6288,-0.014728925101849
10,"2020-03",122,0.786885245901639,1,6382,6288,-0.014728925101849
10,"2020-04",106,0.764150943396226,1,6382,6288,-0.014728925101849
10,"2020-05",104,0.788461538461539,1,6382,6288,-0.014728925101849
10,"2020-06",100,0.77,1,6382,6288,-0.014728925101849
10,"2020-07",84,0.80952380952381,1,6382,6288,-0.014728925101849
10,"2020-08",79,0.822784810126582,1,6382,6288,-0.014728925101849
10,"2020-09",81,0.814814814814815,1,6382,6288,-0.014728925101849
10,"2020-10",92,0.847826086956522,1,6382,6288,-0.014728925101849
10,"2020-11",90,0.855555555555556,1,6382,6288,-0.014728925101849
10,"2020-12",97,0.783505154639175,1,6382,6288,-0.014728925101849
10,"2021-01",107,0.775700934579439,1,6382,6288,-0.014728925101849
10,"2021-02",96,0.75,1,6382,6288,-0.014728925101849
10,"2021-03",93,0.774193548387097,1,6382,6288,-0.014728925101849
10,"2021-04",95,0.768421052631579,1,6382,6288,-0.014728925101849
10,"2021-05",95,0.757894736842105,1,6382,6288,-0.014728925101849
10,"2021-06",89,0.719101123595506,1,6382,6288,-0.014728925101849
10,"2021-07",84,0.726190476190476,1,6382,6288,-0.014728925101849
10,"2021-08",94,0.808510638297872,1,6382,6288,-0.014728925101849
10,"2021-09",98,0.836734693877551,1,6382,6288,-0.014728925101849
10,"2021-10",100,0.82,1,6382,6288,-0.014728925101849
10,"2021-11",101,0.831683168316832,1,6382,6288,-0.014728925101849
10,"2021-12",102,0.852941176470588,1,6382,6288,-0.014728925101849
10,"2022-01",127,0.850393700787402,1,6382,6288,-0.014728925101849
10,"2022-02",148,0.844594594594595,1,6382,6288,-0.014728925101849
10,"2022-03",159,0.849056603773585,1,6382,6288,-0.014728925101849
10,"2022-04",166,0.885542168674699,1,6382,6288,-0.014728925101849
10,"2022-05",158,0.879746835443038,1,6382,6288,-0.014728925101849
10,"2022-06",167,0.892215568862275,1,6382,6288,-0.014728925101849
10,"2022-07",160,0.8875,1,6382,6288,-0.014728925101849
10,"2022-08",154,0.902597402597403,1,6382,6288,-0.014728925101849
10,"2022-09",153,0.88235294117647,1,6382,6288,-0.014728925101849
10,"2022-10",158,0.930379746835443,1,6382,6288,-0.014728925101849
10,"2022-11",176,0.926136363636364,1,6382,6288,-0.014728925101849
10,"2022-12",175,0.914285714285714,1,6382,6288,-0.014728925101849
10,"2023-01",178,0.859550561797753,1,6382,6288,-0.014728925101849
10,"2023-02",167,0.832335329341317,1,6382,6288,-0.014728925101849
10,"2023-03",160,0.8625,1,6382,6288,-0.014728925101849
10,"2023-04",157,0.86624203821656,1,6382,6288,-0.014728925101849
10,"2023-05",141,0.851063829787234,1,6382,6288,-0.014728925101849
10,"2023-06",132,0.863636363636364,1,6382,6288,-0.014728925101849
10,"2023-07",145,0.827586206896552,1,6382,6288,-0.014728925101849
10,"2023-08",172,0.831395348837209,1,6382,6288,-0.014728925101849
10,"2023-09",196,0.88265306122449,1,6382,6288,-0.014728925101849
10,"2023-10",186,0.887096774193548,1,6382,6288,-0.014728925101849
10,"2023-11",197,0.862944162436548,1,6382,6288,-0.014728925101849
10,"2023-12",217,0.870967741935484,1,6382,6288,-0.014728925101849
10,"2024-01",206,0.893203883495146,1,6382,6288,-0.014728925101849
10,"2024-02",202,0.891089108910891,1,6382,6288,-0.014728925101849
10,"2024-03",180,0.866666666666667,1,6382,6288,-0.014728925101849
10,"2024-04",180,0.85,1,6382,6288,-0.014728925101849
10,"2024-05",182,0.835164835164835,1,6382,6288,-0.014728925101849
10,"2024-06",188,0.835106382978723,1,6382,6288,-0.014728925101849
10,"2024-07",183,0.819672131147541,1,6382,6288,-0.014728925101849
10,"2024-08",184,0.869565217391304,1,6382,6288,-0.014728925101849
10,"2024-09",194,0.891752577319588,1,6382,6288,-0.014728925101849
10,"2024-10",195,0.876923076923077,1,6382,6288,-0.014728925101849
10,"2024-11",183,0.890710382513661,1,6382,6288,-0.014728925101849
10,"2024-12",188,0.888297872340426,1,6382,6288,-0.014728925101849
10,"2025-01",382,0.884816753926702,1,6382,6288,-0.014728925101849
10,"2025-03",194,0.876288659793814,1,6382,6288,-0.014728925101849
10,"2025-04",201,0.830845771144278,1,6382,6288,-0.014728925101849
10,"2025-05",191,0.81151832460733,1,6382,6288,-0.014728925101849
10,"2025-06",189,0.804232804232804,1,6382,6288,-0.014728925101849
10,"2025-07",187,0.759358288770054,1,6382,6288,-0.014728925101849
11,"2019-01",116,0.801724137931034,1,3645,3830,0.0507544581618656
11,"2019-02",106,0.80188679245283,1,3645,3830,0.0507544581618656
11,"2019-03",111,0.846846846846847,1,3645,3830,0.0507544581618656
11,"2019-04",119,0.773109243697479,1,3645,3830,0.0507544581618656
11,"2019-05",118,0.771186440677966,1,3645,3830,0.0507544581618656
11,"2019-06",118,0.830508474576271,1,3645,3830,0.0507544581618656
11,"2019-07",110,0.854545454545454,1,3645,3830,0.0507544581618656
11,"2019-08",120,0.841666666666667,1,3645,3830,0.0507544581618656
11,"2019-09",103,0.83495145631068,1,3645,3830,0.0507544581618656
11,"2019-10",108,0.861111111111111,1,3645,3830,0.0507544581618656
11,"2019-11",107,0.785046728971963,1,3645,3830,0.0507544581618656
11,"2019-12",115,0.826086956521739,1,3645,3830,0.0507544581618656
11,"2020-01",127,0.795275590551181,1,3645,3830,0.0507544581618656
11,"2020-02",133,0.796992481203007,1,3645,3830,0.0507544581618656
11,"2020-03",133,0.774436090225564,1,3645,3830,0.0507544581618656
11,"2020-04",115,0.756521739130435,1,3645,3830,0.0507544581618656
11,"2020-05",111,0.765765765765766,1,3645,3830,0.0507544581618656
11,"2020-06",113,0.814159292035398,1,3645,3830,0.0507544581618656
11,"2020-07",101,0.792079207920792,1,3645,3830,0.0507544581618656
11,"2020-08",88,0.840909090909091,1,3645,3830,0.0507544581618656
11,"2020-09",94,0.872340425531915,1,3645,3830,0.0507544581618656
11,"2020-10",93,0.838709677419355,1,3645,3830,0.0507544581618656
11,"2020-11",106,0.849056603773585,1,3645,3830,0.0507544581618656
11,"2020-12",108,0.842592592592593,1,3645,3830,0.0507544581618656
11,"2021-01",105,0.847619047619048,1,3645,3830,0.0507544581618656
11,"2021-02",100,0.84,1,3645,3830,0.0507544581618656
11,"2021-03",92,0.891304347826087,1,3645,3830,0.0507544581618656
11,"2021-04",100,0.88,1,3645,3830,0.0507544581618656
11,"2021-05",89,0.865168539325843,1,3645,3830,0.0507544581618656
11,"2021-06",83,0.903614457831325,1,3645,3830,0.0507544581618656
11,"2021-07",85,0.870588235294118,1,3645,3830,0.0507544581618656
11,"2021-08",91,0.868131868131868,1,3645,3830,0.0507544581618656
11,"2021-09",91,0.879120879120879,1,3645,3830,0.0507544581618656
11,"2021-10",87,0.885057471264368,1,3645,3830,0.0507544581618656
11,"2021-11",85,0.870588235294118,1,3645,3830,0.0507544581618656
11,"2021-12",80,0.875,1,3645,3830,0.0507544581618656
11,"2022-01",75,0.826666666666667,1,3645,3830,0.0507544581618656
11,"2022-02",76,0.868421052631579,1,3645,3830,0.0507544581618656
11,"2022-03",86,0.813953488372093,1,3645,3830,0.0507544581618656
11,"2022-04",80,0.775,1,3645,3830,0.0507544581618656
11,"2022-05",78,0.833333333333333,1,3645,3830,0.0507544581618656
11,"2022-06",72,0.805555555555556,1,3645,3830,0.0507544581618656
