term,estimate,std.error,statistic,p.value,conf.low,conf.high
Direct effect,-4.6860911027810613e-4,0.009418918320277862,-0.049751902962067725,0.9614067394645138,-0.021775682654305906,0.020838464433749697
30-34,0.030846664430169687,0.008752049041258371,3.5245077221064736,0.006469483466583677,0.011048154002325901,0.050645174858013474
35-39,0.04775873852220867,0.013095828858499345,3.6468664212279083,0.0053435023826112924,0.018133915467174935,0.0773835615772424
40-44,0.04158850207688143,0.013811603004739383,3.0111278222093802,0.014688977131696973,0.010344485409985026,0.07283251874377783
Education: Above bachelor's degree,0.6265181538870905,0.044048925434697295,14.223233545524423,1.7886660470363962e-7,0.526872561701426,0.726163746072755
Education: Bachelor's degree,0.5990657826644608,0.040078923769664605,14.94715242623078,1.1632132877428298e-7,0.5084009581816707,0.6897306071472508
Education: High school graduate,0.3747727274078056,0.03204561781641617,11.694975879535669,9.5852317778437e-7,0.302280503528106,0.4472649512875052
Education: Postsecondary certificate or diploma,0.5546591893576934,0.03787272513126671,14.645346682480518,1.388431755574818e-7,0.46898513292731087,0.640333245788076
Education: Some high school,0.20438575968508,0.01922376441675593,10.63193218841842,2.1437806011953063e-6,0.16089858331377033,0.24787293605638966
Education: Some postsecondary,0.40841462527600164,0.04005150136197453,10.197236342899155,3.0406219983923466e-6,0.3178118345891889,0.4990174159628144
Capacity,-0.01774370371681512,0.25166058990647666,-0.07050648543504219,0.945332367247183,-0.5870395097677729,0.5515521023341426
